Marca,Modello,Type,Origine,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,36945.0,33337.0,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820.0,21761.0,2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0
Acura,TSX 4dr,Sedan,Asia,Front,26990.0,24647.0,2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0
Acura,TL 4dr,Sedan,Asia,Front,33195.0,30299.0,3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755.0,39014.0,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100.0,41100.0,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765.0,79978.0,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0
Abarth,595,Hatchback,Europe,FWD,23000.0,22000.0,1.4,4.0,145.0,32.4,38.1,1110.0,98.0,3660.0
Abarth,595C,Convertible,Europe,FWD,25500.0,24500.0,1.4,4.0,145.0,31.7,37.4,1140.0,98.0,3660.0
Alfa Romeo,Stelvio,SUV,Europe,AWD,48000.0,46000.0,2.0,4.0,280.0,29.4,34.4,1800.0,110.0,4700.0
Alfa Romeo,Giulietta,Hatchback,Europe,FWD,25000.0,24000.0,1.75,4.0,240.0,27.0,35.0,1400.0,105.0,4350.0
Alfa Romeo,Giulia,Sedan,Europe,RWD,42000.0,40000.0,2.0,4.0,280.0,27.7,36.0,1650.0,111.0,4640.0
Aston Martin,DB11,Coupe,Europe,RWD,180000.0,170000.0,4.0,8.0,510.0,15.0,22.0,1870.0,114.0,4700.0
Aston Martin,DB11 Volante,Convertible,Europe,RWD,195000.0,185000.0,4.0,8.0,510.0,14.0,22.0,1920.0,114.0,4700.0
Aston Martin,DBX,SUV,Europe,AWD,210000.0,200000.0,4.0,8.0,550.0,16.0,22.0,2240.0,121.0,5030.0
Aston Martin,DBS Superleggera,Coupe,Europe,RWD,320000.0,310000.0,5.2,12.0,715.0,13.0,21.0,1790.0,114.0,4700.0
Aston Martin,Rapide S,Sedan,Europe,RWD,200000.0,190000.0,6.0,12.0,550.0,16.0,23.0,1870.0,111.0,5080.0
Aston Martin,Vantage,Coupe,Europe,RWD,140000.0,130000.0,4.0,8.0,503.0,19.0,29.0,1610.0,107.0,4470.0
Audi,A1 Sportback,Hatchback,Europe,FWD,26000.0,25000.0,1.5,4.0,150.0,33.6,42.8,1200.0,98.0,4000.0
Audi,Citycarver A1,Hatchback,Europe,FWD,27000.0,26000.0,1.5,4.0,150.0,32.0,41.5,1250.0,98.0,4050.0
Audi,A6,Sedan,Europe,AWD,54000.0,52000.0,2.0,4.0,245.0,27.0,35.0,1700.0,114.0,4950.0
Audi,A6 Allroad Quattro,SUV,Europe,AWD,60000.0,58000.0,3.0,6.0,335.0,23.0,29.0,1950.0,114.0,5050.0
Audi,A6 Avant,Sedan,Europe,AWD,55000.0,53000.0,2.0,4.0,245.0,26.0,34.0,1700.0,114.0,4950.0
Audi,A7 Sportback,Hatchback,Europe,AWD,67000.0,65000.0,3.0,6.0,335.0,24.0,31.0,1870.0,114.0,4950.0
Audi,A8,Sedan,Europe,AWD,90000.0,87000.0,3.0,6.0,335.0,22.0,28.0,2000.0,121.0,5300.0
Audi,A3 Berlina,Sedan,Europe,FWD,32000.0,31000.0,1.5,4.0,150.0,30.0,38.0,1350.0,105.0,4450.0
Audi,A3 Sportback,Hatchback,Europe,FWD,32000.0,31000.0,1.5,4.0,150.0,30.0,38.0,1350.0,105.0,4450.0
